location,location(local),Riverside,St_Michael,Central,Kirkdale,Woolton,renovation,top_floor,ground_floor,parking_space,extra_bathroom,balcony,garden,sq_meters,price,price/sqm
Liverpool ,Kirkdale,0,0,0,1,0,0,0,1,1,0,0,0,61,50000,819.6721311
Liverpool ,Kirkdale,0,0,0,1,0,0,0,1,0,0,0,0,69,65000,942.0289855
Liverpool ,Kirkdale,0,0,0,1,0,0,0,1,1,0,0,1,55,100000,1818.181818
Liverpool ,Woolton,0,0,0,0,1,0,1,0,1,1,0,1,76.9,80000,1040.312094
Liverpool ,Woolton,0,0,0,0,1,1,0,0,0,0,0,0,76,180000,2368.421053
Liverpool ,Woolton,0,0,0,0,1,1,0,1,1,0,0,1,73,200000,2739.726027
Liverpool ,Woolton,0,0,0,0,1,0,0,1,1,0,0,1,60.5,125000,2066.115702
Liverpool ,Woolton,0,0,0,0,1,0,0,1,1,0,0,1,55,130000,2363.636364
Liverpool ,Woolton,0,0,0,0,1,1,0,1,1,1,0,1,79,250000,3164.556962
Liverpool ,Woolton,0,0,0,0,1,1,0,0,1,1,0,1,55,185000,3363.636364
Liverpool ,Woolton,0,0,0,0,1,0,0,0,1,1,0,0,50,95000,1900
Liverpool ,Woolton,0,0,0,0,1,1,0,0,1,0,0,1,64,185000,2890.625
Liverpool ,Woolton,0,0,0,0,1,0,0,1,1,0,0,1,57,160000,2807.017544
Liverpool ,Woolton,0,0,0,0,1,1,0,1,1,0,0,1,65,165000,2538.461538
Liverpool ,Woolton,0,0,0,0,1,0,0,1,0,0,0,1,57,87500,1535.087719
Liverpool ,Woolton,0,0,0,0,1,1,0,1,0,0,0,1,53,185000,3490.566038
Liverpool ,Woolton,0,0,0,0,1,1,0,1,1,0,0,1,62,220000,3548.387097
Liverpool ,Woolton,0,0,0,0,1,0,0,1,1,0,0,1,52,160000,3076.923077
